amfi_code,scheme_name,fund_house,category,expense_ratio_pct,return_1yr_pct,return_3yr_pct,return_5yr_pct,ann_return_pct,std_dev_ann_pct,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown_pct,peak_date,trough_date,tracking_error_pct,r_squared,rank_return_3yr,rank_sharpe,rank_alpha,rank_expense,rank_max_dd,composite_score,scorecard_rank
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,1.55,-2.22,1.03,2.64,2.55,12.3,-0.32,-0.28,3.75,-0.06,-24.73,2022-03-30,2022-09-15,19.93,0.0027,90.0,85.0,97.5,80.0,85.0,88.25,1
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,1.51,-16.8,-0.95,1.17,1.98,15.33,-0.29,-0.25,2.9,-0.04,-28.0,2025-01-07,2026-04-27,22.56,0.0009,92.5,82.5,100.0,61.25000000000001,87.5,86.31,2
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,1.38,-42.8,-10.94,1.52,3.29,21.19,-0.15,-0.13,4.8,-0.07,-51.68,2025-05-22,2026-05-11,28.58,0.0012,100.0,80.0,92.5,42.5,97.5,84.62,3
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,1.53,-23.99,-4.69,7.94,7.65,21.81,0.05,0.05,10.9,-0.07,-35.45,2024-11-21,2026-05-11,29.21,0.0011,97.5,67.5,67.5,71.25,95.0,79.81,4
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,1.64,1.61,1.23,6.37,4.95,11.8,-0.13,-0.11,6.9,0.01,-14.4,2023-10-12,2025-02-07,18.91,0.0001,87.5,75.0,75.0,98.75,37.5,78.56,5
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.72,13.95,-1.17,2.05,3.63,21.1,-0.14,-0.12,4.88,0.06,-52.57,2023-01-17,2025-10-28,27.71,0.001,95.0,77.5,90.0,13.750000000000002,100.0,77.94,6
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.56,22.5,6.9,6.7,5.62,15.13,-0.06,-0.05,7.8,0.02,-24.0,2023-11-09,2024-10-17,21.92,0.0002,72.5,72.5,72.5,82.5,82.5,75.0,7
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,0.79,7.24,6.32,6.51,4.35,0.46,-4.65,-5.65,6.09,0.0,-0.16,2023-09-05,2023-09-12,12.9,0.0,77.5,100.0,82.5,27.500000000000004,7.5,69.62,8
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,0.56,3.7,3.9,4.46,3.06,3.3,-1.04,-0.91,4.28,0.0,-4.31,2023-05-23,2023-07-28,13.45,0.0,82.5,92.5,95.0,5.0,10.0,68.62,9
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,0.77,5.52,5.91,5.89,4.0,3.36,-0.74,-0.66,5.62,-0.01,-4.33,2024-09-16,2025-04-01,13.56,0.0004,80.0,87.5,85.0,22.5,12.5,67.5,10
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,0.55,10.45,3.83,5.32,3.63,3.37,-0.85,-0.75,5.07,0.0,-8.32,2023-02-09,2024-02-09,13.48,0.0,85.0,90.0,87.5,2.5,15.0,67.38,11
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,0.6,7.12,6.7,6.92,4.61,0.47,-4.0,-5.19,6.46,-0.0,-0.12,2024-04-12,2024-04-30,12.9,0.0001,75.0,97.5,80.0,7.5,5.0,64.5,12
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.59,16.84,17.2,13.53,9.41,11.39,0.26,0.22,13.04,0.04,-17.57,2024-01-09,2025-02-14,18.31,0.0012,55.00000000000001,60.0,62.5,87.5,60.0,63.12,13
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,1.53,15.81,7.25,16.37,12.74,21.35,0.29,0.25,17.5,0.1,-23.34,2025-04-09,2026-02-20,27.73,0.0028,70.0,57.49999999999999,45.0,71.25,80.0,63.06,14
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,0.74,7.43,7.38,7.24,4.82,0.46,-3.65,-4.7,6.75,-0.0,-0.1,2025-10-16,2025-10-20,12.9,0.0001,67.5,95.0,77.5,17.5,2.5,62.38,15
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,0.78,15.44,11.66,11.3,8.59,15.52,0.13,0.11,11.99,0.01,-21.12,2025-04-04,2025-09-12,22.36,0.0,65.0,65.0,65.0,25.0,72.5,59.75,16
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,1.54,18.11,17.96,13.39,9.41,12.14,0.24,0.21,13.17,-0.0,-14.84,2022-01-03,2022-02-04,19.33,0.0,50.0,62.5,60.0,76.25,40.0,58.06,17
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,1.64,13.58,24.77,16.84,11.63,13.33,0.38,0.34,16.21,0.02,-21.54,2022-01-03,2022-07-04,20.22,0.0002,32.5,55.00000000000001,52.5,98.75,75.0,56.31,18
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,0.75,19.77,20.18,7.9,5.94,11.82,-0.05,-0.04,8.23,0.03,-21.75,2022-02-24,2023-05-22,18.79,0.0006,40.0,70.0,70.0,20.0,77.5,54.25,19
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,1.41,41.82,17.84,17.08,11.71,12.89,0.4,0.35,16.25,0.04,-19.83,2023-03-31,2023-08-14,19.6,0.0013,52.5,47.5,50.0,47.5,67.5,51.5,20
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,1.52,14.27,14.65,22.52,14.87,13.06,0.64,0.57,20.87,-0.03,-15.27,2023-09-05,2024-01-24,20.32,0.0005,60.0,37.5,35.0,66.25,47.5,49.06,21
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,1.42,8.49,13.98,18.79,12.57,11.75,0.52,0.45,17.7,-0.04,-13.9,2023-09-19,2023-11-09,19.29,0.0014,62.5,41.25,42.5,50.0,35.0,48.56,22
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,1.57,20.21,19.64,18.23,12.15,10.86,0.52,0.46,17.05,-0.02,-10.86,2022-02-03,2022-03-29,18.37,0.0004,42.5,41.25,47.5,85.0,17.5,47.06,23
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,0.89,22.49,19.4,15.96,10.82,10.99,0.39,0.35,15.14,-0.0,-11.65,2022-01-03,2022-06-09,18.31,0.0,45.0,51.24999999999999,57.49999999999999,32.5,25.0,45.19,24
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,0.72,25.54,21.25,16.27,11.1,11.84,0.39,0.35,15.64,-0.04,-18.63,2023-10-30,2024-02-29,19.34,0.0011,37.5,51.24999999999999,55.00000000000001,13.750000000000002,65.0,43.62,25
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,0.92,28.68,18.11,19.02,12.78,12.41,0.51,0.45,17.73,0.05,-15.2,2023-12-22,2025-01-01,19.11,0.0018,47.5,45.0,40.0,35.0,45.0,43.25,26
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.66,5.71,15.73,21.52,14.15,11.8,0.65,0.57,19.87,-0.03,-11.8,2024-05-21,2024-09-02,19.21,0.0006,57.49999999999999,35.0,37.5,10.0,27.500000000000004,37.75,27
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,1.51,33.98,22.56,24.05,15.59,11.98,0.76,0.67,21.83,-0.01,-17.41,2024-01-02,2024-07-19,19.21,0.0001,35.0,20.0,27.500000000000004,61.25000000000001,57.49999999999999,35.94,28
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,1.61,21.48,26.88,29.58,19.01,15.02,0.83,0.72,26.6,-0.0,-17.25,2022-06-06,2022-10-24,21.95,0.0,27.500000000000004,15.0,20.0,95.0,55.00000000000001,35.75,29
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,1.52,65.14,26.93,32.29,21.52,21.02,0.71,0.63,30.06,0.01,-31.17,2024-05-03,2025-01-03,27.92,0.0,25.0,30.0,5.0,66.25,92.5,35.19,30
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,1.6,47.92,28.67,23.54,15.35,12.33,0.72,0.64,21.4,0.02,-11.29,2023-04-24,2023-07-05,19.27,0.0003,20.0,25.0,30.0,91.25,22.5,34.19,31
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,1.43,82.78,26.07,32.42,21.64,21.27,0.71,0.63,30.34,-0.02,-28.71,2024-08-28,2025-05-14,28.39,0.0001,30.0,30.0,2.5,52.5,90.0,33.88,32
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,1.6,39.75,28.39,31.95,20.25,14.96,0.92,0.83,28.27,0.02,-16.4,2023-08-10,2023-10-20,21.74,0.0002,22.5,7.5,10.0,91.25,52.5,29.56,33
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,1.54,60.44,30.35,25.8,16.52,11.64,0.86,0.76,23.2,-0.03,-15.01,2023-08-24,2024-02-05,19.12,0.0009,15.0,12.5,25.0,76.25,42.5,28.31,34
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,1.38,22.26,35.33,28.21,18.5,16.42,0.73,0.66,26.08,-0.07,-20.96,2022-04-14,2022-08-11,23.77,0.0019,2.5,22.5,22.5,42.5,70.0,24.25,35
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,0.8,13.06,33.14,23.3,15.19,12.16,0.71,0.62,21.19,0.02,-12.59,2022-10-04,2023-05-30,19.16,0.0002,7.5,30.0,32.5,30.0,30.0,23.75,36
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,1.38,53.23,32.45,30.12,19.46,16.03,0.81,0.71,27.2,0.01,-16.22,2022-03-11,2022-05-12,22.87,0.0,10.0,17.5,15.0,42.5,50.0,21.75,37
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.45,26.66,29.69,30.91,19.49,13.45,0.97,0.88,27.33,-0.02,-12.97,2022-03-07,2022-04-13,20.64,0.0003,17.5,5.0,12.5,55.00000000000001,32.5,20.5,38
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,1.36,29.6,31.52,32.83,20.92,16.33,0.88,0.79,29.26,0.0,-18.19,2024-10-24,2025-01-23,23.2,0.0,12.5,10.0,7.5,37.5,62.5,19.62,39
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,1.46,20.36,34.16,30.97,19.35,12.03,1.07,0.92,26.98,0.02,-11.27,2023-07-11,2023-10-20,18.97,0.0005,5.0,2.5,17.5,57.49999999999999,20.0,16.25,40
